Teste;Modelo;BLEU;ROUGE_L;Levenshtein_Norm;BERTScore_F1
Teste A;BF16;19.96;38.43;39.6;74.87
Teste A;Q8_0;18.83;38.26;39.19;74.4
Teste A;Q5_K_M;18.12;38.23;39.04;74.75
Teste A;Q4_K_M;16.4;35.83;37.43;73.37
Teste A;Q3_K_M;14.02;33.33;36.23;71.73
Teste A;Q2_K;7.72;28.02;32.59;68.25
Teste B;BF16;57.73;81.8;83.05;90.83
Teste B;Q8_0;57.4;81.75;83.1;90.75
Teste B;Q5_K_M;56.37;81.02;82.47;90.31
Teste B;Q4_K_M;56.55;81.13;82.04;90.19
Teste B;Q3_K_M;53.41;79.68;81.19;89.57
Teste B;Q2_K;43.83;72.91;74.81;86.56
Teste C;BF16;43.24;63.43;63.94;87.06
Teste C;Q8_0;43.71;63.84;63.86;87.2
Teste C;Q5_K_M;40.54;62.11;62.15;86.61
Teste C;Q4_K_M;39.53;61.71;61.0;86.27
Teste C;Q3_K_M;36.84;58.82;58.95;85.22
Teste C;Q2_K;25.83;49.39;49.7;81.8
